onset	duration	sample	value
0.0000000000	n/a	0	boundary
102.3730000000	1.0000000000	102373	S 32
108.6040000000	1.0000000000	108604	S100
116.9340000000	1.0000000000	116934	S 16
116.9840000000	1.0000000000	116984	S  4
122.1500000000	1.0000000000	122150	S100
131.2460000000	1.0000000000	131246	S 34
137.6600000000	1.0000000000	137660	S100
147.2570000000	1.0000000000	147257	S 67
152.4390000000	1.0000000000	152439	S100
162.1850000000	1.0000000000	162185	S 34
167.6170000000	1.0000000000	167617	S100
177.3130000000	1.0000000000	177313	S 66
182.5620000000	1.0000000000	182562	S100
190.5650000000	1.0000000000	190565	S130
195.0410000000	1.0000000000	195041	S230
195.0420000000	1.0000000000	195042	S100
205.8530000000	1.0000000000	205853	S 35
212.9340000000	1.0000000000	212934	S100
222.9960000000	1.0000000000	222996	S128
228.6130000000	1.0000000000	228613	S228
228.6140000000	1.0000000000	228614	S100
237.6590000000	1.0000000000	237659	S 33
244.1900000000	1.0000000000	244190	S100
252.2550000000	1.0000000000	252255	S 16
257.6360000000	1.0000000000	257636	S100
265.8160000000	1.0000000000	265816	S 34
273.6460000000	1.0000000000	273646	S100
282.6800000000	1.0000000000	282680	S129
287.7920000000	1.0000000000	287792	S100
297.0720000000	1.0000000000	297072	S 35
303.0690000000	1.0000000000	303069	S100
312.7330000000	1.0000000000	312733	S  8
317.0150000000	1.0000000000	317015	S100
331.6600000000	1.0000000000	331660	S 33
345.0550000000	1.0000000000	345055	S 33
358.3500000000	1.0000000000	358350	S 33
403.5840000000	1.0000000000	403584	S  4
511.3090000000	1.0000000000	511309	S 33
519.2400000000	1.0000000000	519240	S100
527.7700000000	1.0000000000	527770	S 65
531.8860000000	1.0000000000	531886	S100
541.0320000000	1.0000000000	541032	S 33
547.4460000000	1.0000000000	547446	S100
555.7400000000	1.0000000000	555740	S129
560.6590000000	1.0000000000	560659	S229
560.6600000000	1.0000000000	560660	S100
570.6880000000	1.0000000000	570688	S 65
576.0700000000	1.0000000000	576070	S100
585.0090000000	1.0000000000	585009	S130
589.6820000000	1.0000000000	589682	S230
589.6830000000	1.0000000000	589683	S100
599.1620000000	1.0000000000	599162	S 35
605.2600000000	1.0000000000	605260	S100
615.6890000000	1.0000000000	615689	S 64
621.7370000000	1.0000000000	621737	S100
630.2840000000	1.0000000000	630284	S 33
644.0790000000	1.0000000000	644079	S 33
650.2770000000	1.0000000000	650277	S100
658.5580000000	1.0000000000	658558	S 66
663.1390000000	1.0000000000	663139	S100
670.8530000000	1.0000000000	670853	S 35
677.3350000000	1.0000000000	677335	S100
686.2310000000	1.0000000000	686231	S 66
691.8140000000	1.0000000000	691814	S100
701.1430000000	1.0000000000	701143	S 35
707.1410000000	1.0000000000	707141	S100
717.2040000000	1.0000000000	717204	S 12
721.8020000000	1.0000000000	721802	S100
730.4330000000	1.0000000000	730433	S 35
737.6140000000	1.0000000000	737614	S100
747.3520000000	1.0000000000	747352	S129
752.4420000000	1.0000000000	752442	S229
752.4430000000	1.0000000000	752443	S100
764.7040000000	1.0000000000	764704	S 66
770.7520000000	1.0000000000	770752	S100
780.8350000000	1.0000000000	780835	S129
786.8630000000	1.0000000000	786863	S229
786.8640000000	1.0000000000	786864	S100
795.6770000000	1.0000000000	795677	S 64
800.0420000000	1.0000000000	800042	S100
808.4350000000	1.0000000000	808435	S131
813.3040000000	1.0000000000	813304	S231
813.3050000000	1.0000000000	813305	S100
825.3330000000	1.0000000000	825333	S 66
829.9320000000	1.0000000000	829932	S100
839.3620000000	1.0000000000	839362	S 12
843.7430000000	1.0000000000	843743	S100
853.7560000000	1.0000000000	853756	S 65
859.3550000000	1.0000000000	859355	S100
868.8510000000	1.0000000000	868851	S 12
874.4830000000	1.0000000000	874483	S100
882.6660000000	1.0000000000	882666	S128
887.0620000000	1.0000000000	887062	S100
896.1250000000	1.0000000000	896125	S 65
901.7070000000	1.0000000000	901707	S100
909.1700000000	1.0000000000	909170	S  8
914.6030000000	1.0000000000	914603	S100
923.7650000000	1.0000000000	923765	S 65
929.1970000000	1.0000000000	929197	S100
937.1610000000	1.0000000000	937161	S  8
942.7090000000	1.0000000000	942709	S100
951.7350000000	1.0000000000	951735	S130
957.7710000000	1.0000000000	957771	S100
966.6340000000	1.0000000000	966634	S 16
971.1820000000	1.0000000000	971182	S100
979.4130000000	1.0000000000	979413	S 65
985.0940000000	1.0000000000	985094	S100
994.3230000000	1.0000000000	994323	S128
999.7060000000	1.0000000000	999706	S100
1015.1670000000	1.0000000000	1015167	S 20
1020.6650000000	1.0000000000	1020665	S100
1031.6180000000	1.0000000000	1031618	S130
1036.1610000000	1.0000000000	1036161	S230
1036.1620000000	1.0000000000	1036162	S100
1045.7730000000	1.0000000000	1045773	S 65
1050.5880000000	1.0000000000	1050588	S100
1060.3370000000	1.0000000000	1060337	S131
1064.6010000000	1.0000000000	1064601	S100
1075.5460000000	1.0000000000	1075546	S 64
1081.2280000000	1.0000000000	1081228	S100
